date,team1,score1,team2,score2,venue,score_diff
12/01/2023,Saint Peter's,72,Niagara,67,Niagara,5
12/03/2023,Quinnipiac,75,Niagara,68,Niagara,7
12/06/2023,St. Bonaventure,94,Niagara,60,Niagara,34
12/10/2023,Buffalo St.,64,Niagara,113,Niagara,-49
12/16/2023,NJIT,81,Niagara,89,Niagara,-8
11/15/2023,Denver,91,Nicholls St.,85,Nicholls St.,6
11/17/2023,SIU Edwardsville,60,Nicholls St.,51,Nicholls St.,9
11/21/2023,Blue Mountain,56,Nicholls St.,86,Nicholls St.,-30
12/09/2023,Elizabeth City St.,70,Nicholls St.,84,Nicholls St.,-14
12/30/2023,Mobile,65,Nicholls St.,74,Nicholls St.,-9
11/06/2023,Penn St. Wilkes Barre,55,Norfolk St.,102,Norfolk St.,-47
11/09/2023,The Apprentice School,56,Norfolk St.,90,Norfolk St.,-34
11/13/2023,Hampton,68,Norfolk St.,75,Norfolk St.,-7
11/28/2023,William & Mary,62,Norfolk St.,96,Norfolk St.,-34
12/18/2023,Southern Virginia,52,Norfolk St.,108,Norfolk St.,-56
12/21/2023,South Dakota St.,65,Norfolk St.,84,Norfolk St.,-19
11/06/2023,Blue Mountain,60,North Alabama,93,North Alabama,-33
11/09/2023,Alabama A&M,67,North Alabama,83,North Alabama,-16
11/18/2023,Jacksonville St.,59,North Alabama,61,North Alabama,-2
11/30/2023,Tennessee Tech,71,North Alabama,86,North Alabama,-15
12/07/2023,Point,65,North Alabama,109,North Alabama,-44
12/10/2023,Morehead St.,86,North Alabama,77,North Alabama,9
11/06/2023,Radford,70,North Carolina,86,North Carolina,-16
11/12/2023,Lehigh,68,North Carolina,90,North Carolina,-22
11/17/2023,UC Riverside,52,North Carolina,77,North Carolina,-25
11/29/2023,Tennessee,92,North Carolina,100,North Carolina,-8
12/02/2023,Florida St.,70,North Carolina,78,North Carolina,-8
12/05/2023,Connecticut,87,North Carolina,76,North Carolina,11
12/16/2023,Kentucky,87,North Carolina,83,North Carolina,4
12/20/2023,Oklahoma,69,North Carolina,81,North Carolina,-12
12/29/2023,Charleston Southern,60,North Carolina,105,North Carolina,-45
11/24/2023,Alabama St.,88,North Carolina A&T,73,North Carolina A&T,15
12/02/2023,The Citadel,85,North Carolina A&T,68,North Carolina A&T,17
12/12/2023,North Carolina Central,67,North Carolina A&T,62,North Carolina A&T,5
12/16/2023,Texas Southern,79,North Carolina A&T,85,North Carolina A&T,-6
11/09/2023,Virginia Lynchburg,54,North Carolina Central,107,North Carolina Central,-53
11/14/2023,Mid Atlantic Christian,50,North Carolina Central,113,North Carolina Central,-63
12/02/2023,USC Upstate,85,North Carolina Central,82,North Carolina Central,3
12/15/2023,St. Andrews Pres.,50,North Carolina Central,102,North Carolina Central,-52
12/20/2023,Longwood,70,North Carolina Central,79,North Carolina Central,-9
11/12/2023,Elon,68,North Dakota,85,North Dakota,-17
11/16/2023,Valley City St.,63,North Dakota,93,North Dakota,-30
11/25/2023,New Orleans,69,North Dakota,71,North Dakota,-2
11/28/2023,Concordia MN,56,North Dakota,87,North Dakota,-31
12/09/2023,Portland,83,North Dakota,72,North Dakota,11
12/12/2023,Waldorf,36,North Dakota,87,North Dakota,-51
12/29/2023,St. Thomas,70,North Dakota,45,North Dakota,25
11/08/2023,Mount Marty,66,North Dakota St.,93,North Dakota St.,-27
11/20/2023,Wisconsin Stout,72,North Dakota St.,101,North Dakota St.,-29
12/04/2023,San Jose St.,78,North Dakota St.,83,North Dakota St.,-5
12/07/2023,Portland,67,North Dakota St.,78,North Dakota St.,-11
12/10/2023,Oak Hill Christian,14,North Dakota St.,108,North Dakota St.,-94
12/29/2023,South Dakota,75,North Dakota St.,66,North Dakota St.,9
11/06/2023,Coastal Georgia,55,North Florida,92,North Florida,-37
11/16/2023,Presbyterian,81,North Florida,69,North Florida,12
11/17/2023,Northwestern St.,74,North Florida,80,North Florida,-6
11/18/2023,Maine,58,North Florida,67,North Florida,-9
12/02/2023,High Point,86,North Florida,79,North Florida,7
12/05/2023,Edward Waters,47,North Florida,99,North Florida,-52
12/09/2023,Georgia Southern,56,North Florida,64,North Florida,-8
12/16/2023,Trinity Baptist,72,North Florida,113,North Florida,-41
11/07/2023,Northern Iowa,77,North Texas,83,North Texas,-6
11/11/2023,Nebraska Omaha,64,North Texas,75,North Texas,-11
11/16/2023,St. John's,53,North Texas,52,North Texas,1
11/26/2023,Angelo St.,50,North Texas,79,North Texas,-29
12/02/2023,Mississippi Valley St.,48,North Texas,79,North Texas,-31
12/23/2023,UT Arlington,52,North Texas,78,North Texas,-26
12/30/2023,LSU Shreveport,57,North Texas,80,North Texas,-23
11/06/2023,Boston University,58,Northeastern,67,Northeastern,-9
11/20/2023,Kennesaw St.,79,Northeastern,77,Northeastern,2
11/21/2023,Georgia Southern,76,Northeastern,93,Northeastern,-17
12/02/2023,Old Dominion,68,Northeastern,81,Northeastern,-13
12/06/2023,Vermont,73,Northeastern,71,Northeastern,2
11/18/2023,VMI,69,Northern Arizona,78,Northern Arizona,-9
12/02/2023,Pacific,58,Northern Arizona,78,Northern Arizona,-20
12/16/2023,Southern Utah,74,Northern Arizona,76,Northern Arizona,-2
11/06/2023,Colorado College,58,Northern Colorado,87,Northern Colorado,-29
11/08/2023,Northern New Mexico,60,Northern Colorado,81,Northern Colorado,-21
11/14/2023,Colorado St.,83,Northern Colorado,64,Northern Colorado,19
11/21/2023,Chicago St.,77,Northern Colorado,78,Northern Colorado,-1
11/22/2023,Radford,79,Northern Colorado,68,Northern Colorado,11
12/02/2023,Cal St. Northridge,71,Northern Colorado,75,Northern Colorado,-4
12/30/2023,Northern Arizona,77,Northern Colorado,92,Northern Colorado,-15
11/11/2023,Appalachian St.,78,Northern Illinois,91,Northern Illinois,-13
11/13/2023,Illinois Tech,55,Northern Illinois,107,Northern Illinois,-52
12/05/2023,Indiana St.,90,Northern Illinois,67,Northern Illinois,23
12/18/2023,Calumet,48,Northern Illinois,92,Northern Illinois,-44
12/21/2023,Northern Iowa,76,Northern Illinois,63,Northern Illinois,13
11/14/2023,Loras,50,Northern Iowa,90,Northern Iowa,-40
11/22/2023,North Carolina,91,Northern Iowa,69,Northern Iowa,22
11/29/2023,Belmont,90,Northern Iowa,70,Northern Iowa,20
12/06/2023,Richmond,73,Northern Iowa,78,Northern Iowa,-5
12/12/2023,Prairie View A&M,55,Northern Iowa,74,Northern Iowa,-19
12/17/2023,Alcorn St.,82,Northern Iowa,100,Northern Iowa,-18
11/14/2023,DePauw,68,Northern Kentucky,85,Northern Kentucky,-17
11/22/2023,Texas A&M Corpus Chris,73,Northern Kentucky,88,Northern Kentucky,-15
11/25/2023,LIU,64,Northern Kentucky,72,Northern Kentucky,-8
11/29/2023,Robert Morris,59,Northern Kentucky,77,Northern Kentucky,-18
12/09/2023,Akron,77,Northern Kentucky,76,Northern Kentucky,1
12/14/2023,Cumberlands,59,Northern Kentucky,94,Northern Kentucky,-35
11/06/2023,Binghamton,61,Northwestern,72,Northwestern,-11
11/10/2023,Dayton,66,Northwestern,71,Northwestern,-5
11/14/2023,Western Michigan,59,Northwestern,63,Northwestern,-4
11/18/2023,Rhode Island,61,Northwestern,72,Northwestern,-11
11/19/2023,Mississippi St.,66,Northwestern,57,Northwestern,9
11/27/2023,Northern Illinois,67,Northwestern,89,Northwestern,-22
12/01/2023,Purdue,88,Northwestern,92,Northwestern,-4
12/10/2023,Detroit Mercy,59,Northwestern,91,Northwestern,-32
12/13/2023,Chicago St.,75,Northwestern,73,Northwestern,2
12/29/2023,Jackson St.,63,Northwestern,74,Northwestern,-11
11/06/2023,Dallas Christian,54,Northwestern St.,101,Northwestern St.,-47
11/13/2023,Stephen F. Austin,96,Northwestern St.,70,Northwestern St.,26
11/16/2023,Maine,78,Northwestern St.,65,Northwestern St.,13
12/16/2023,Rice,76,Northwestern St.,51,Northwestern St.,25
12/19/2023,Southern New Orleans,75,Northwestern St.,99,Northwestern St.,-24
11/06/2023,Niagara,63,Notre Dame,70,Notre Dame,-7
11/11/2023,Western Carolina,71,Notre Dame,61,Notre Dame,10
11/16/2023,Auburn,83,Notre Dame,59,Notre Dame,24
11/17/2023,Oklahoma St.,64,Notre Dame,66,Notre Dame,-2
11/22/2023,Maryland Eastern Shore,55,Notre Dame,75,Notre Dame,-20
12/05/2023,Western Michigan,65,Notre Dame,86,Notre Dame,-21
12/16/2023,Georgetown,72,Notre Dame,68,Notre Dame,4
12/19/2023,The Citadel,65,Notre Dame,45,Notre Dame,20
12/22/2023,Marist,56,Notre Dame,60,Notre Dame,-4
12/30/2023,Virginia,54,Notre Dame,76,Notre Dame,-22
11/14/2023,Bowling Green,62,Oakland,81,Oakland,-19
12/02/2023,Purdue Fort Wayne,98,Oakland,77,Oakland,21
12/06/2023,Toledo,69,Oakland,68,Oakland,1
11/08/2023,Troy,70,Ohio,88,Ohio,-18
11/18/2023,Detroit Mercy,52,Ohio,71,Ohio,-19
11/25/2023,Middle Tennessee,68,Ohio,80,Ohio,-12
11/26/2023,Brown,77,Ohio,82,Ohio,-5
12/02/2023,Delaware,73,Ohio,74,Ohio,-1
12/06/2023,Youngstown St.,78,Ohio,72,Ohio,6
12/09/2023,Marshall,74,Ohio,69,Ohio,5
12/18/2023,Defiance,28,Ohio,108,Ohio,-80
12/30/2023,Davidson,72,Ohio,69,Ohio,3
11/06/2023,Oakland,73,Ohio St.,79,Ohio St.,-6
11/10/2023,Texas A&M,73,Ohio St.,66,Ohio St.,7
11/15/2023,Merrimack,52,Ohio St.,76,Ohio St.,-24
11/19/2023,Western Michigan,56,Ohio St.,73,Ohio St.,-17
11/24/2023,Alabama,81,Ohio St.,92,Ohio St.,-11
11/29/2023,Central Michigan,61,Ohio St.,88,Ohio St.,-27
12/03/2023,Minnesota,74,Ohio St.,84,Ohio St.,-10
12/06/2023,Miami OH,64,Ohio St.,84,Ohio St.,-20
12/16/2023,UCLA,60,Ohio St.,67,Ohio St.,-7
12/21/2023,New Orleans,36,Ohio St.,78,Ohio St.,-42
12/30/2023,West Virginia,75,Ohio St.,78,Ohio St.,-3
11/06/2023,Central Michigan,59,Oklahoma,89,Oklahoma,-30
11/10/2023,Mississippi Valley St.,43,Oklahoma,82,Oklahoma,-39
11/14/2023,Texas St.,54,Oklahoma,93,Oklahoma,-39
11/17/2023,UT Rio Grande Valley,66,Oklahoma,90,Oklahoma,-24
11/30/2023,Arkansas Pine Bluff,86,Oklahoma,107,Oklahoma,-21
12/05/2023,Providence,51,Oklahoma,72,Oklahoma,-21
12/09/2023,Arkansas,70,Oklahoma,79,Oklahoma,-9
12/16/2023,Green Bay,47,Oklahoma,81,Oklahoma,-34
12/28/2023,Central Arkansas,72,Oklahoma,88,Oklahoma,-16
12/31/2023,Monmouth,56,Oklahoma,72,Oklahoma,-16
11/06/2023,Abilene Christian,64,Oklahoma St.,59,Oklahoma St.,5
11/12/2023,Sam Houston St.,70,Oklahoma St.,85,Oklahoma St.,-15
11/16/2023,St. Bonaventure,66,Oklahoma St.,64,Oklahoma St.,2
11/20/2023,New Orleans,68,Oklahoma St.,96,Oklahoma St.,-28
11/24/2023,Houston Christian,65,Oklahoma St.,92,Oklahoma St.,-27
11/30/2023,Creighton,79,Oklahoma St.,65,Oklahoma St.,14
12/10/2023,Tulsa,57,Oklahoma St.,72,Oklahoma St.,-15
12/17/2023,Oral Roberts,60,Oklahoma St.,81,Oklahoma St.,-21
12/20/2023,Wofford,70,Oklahoma St.,76,Oklahoma St.,-6
12/31/2023,South Carolina St.,70,Oklahoma St.,86,Oklahoma St.,-16
11/06/2023,Virginia Wesleyan,57,Old Dominion,71,Old Dominion,-14
11/22/2023,Princeton,76,Old Dominion,56,Old Dominion,20
11/26/2023,Drexel,61,Old Dominion,68,Old Dominion,-7
11/29/2023,Radford,68,Old Dominion,69,Old Dominion,-1
12/09/2023,James Madison,84,Old Dominion,69,Old Dominion,15
12/21/2023,TCU,111,Old Dominion,87,Old Dominion,24
12/22/2023,Temple,63,Old Dominion,78,Old Dominion,-15
12/30/2023,South Alabama,61,Old Dominion,59,Old Dominion,2
11/10/2023,Mid America Christian,69,Oral Roberts,74,Oral Roberts,-5
11/21/2023,Texas Southern,63,Oral Roberts,65,Oral Roberts,-2
12/02/2023,Tulsa,70,Oral Roberts,79,Oral Roberts,-9
12/09/2023,Ozark Christian,51,Oral Roberts,110,Oral Roberts,-59
12/19/2023,John Brown,59,Oral Roberts,71,Oral Roberts,-12
11/06/2023,Georgia,71,Oregon,82,Oregon,-11
11/10/2023,Montana,61,Oregon,75,Oregon,-14
11/17/2023,Tennessee St.,67,Oregon,92,Oregon,-25
11/25/2023,Alabama,99,Oregon,91,Oregon,8
12/02/2023,Michigan,83,Oregon,86,Oregon,-3
12/09/2023,UTEP,49,Oregon,71,Oregon,-22
12/12/2023,Cal Baptist,55,Oregon,76,Oregon,-21
12/17/2023,Syracuse,83,Oregon,63,Oregon,20
12/21/2023,Kent St.,70,Oregon,84,Oregon,-14
12/28/2023,USC,74,Oregon,82,Oregon,-8
12/30/2023,UCLA,59,Oregon,64,Oregon,-5
11/06/2023,Linfield,46,Oregon St.,82,Oregon St.,-36
11/10/2023,Troy,80,Oregon St.,81,Oregon St.,-1
11/14/2023,Appalachian St.,71,Oregon St.,81,Oregon St.,-10
11/22/2023,Baylor,88,Oregon St.,72,Oregon St.,16
11/30/2023,UC Davis,59,Oregon St.,71,Oregon St.,-12
12/04/2023,Cal Poly,63,Oregon St.,70,Oregon St.,-7
12/09/2023,Utah Valley,71,Oregon St.,74,Oregon St.,-3
12/17/2023,UTSA,65,Oregon St.,66,Oregon St.,-1
12/21/2023,Idaho St.,57,Oregon St.,76,Oregon St.,-19
12/28/2023,UCLA,69,Oregon St.,62,Oregon St.,7
12/30/2023,USC,70,Oregon St.,86,Oregon St.,-16
11/06/2023,Sam Houston St.,64,Pacific,57,Pacific,7
11/18/2023,Lamar,76,Pacific,77,Pacific,-1
11/20/2023,North Dakota,73,Pacific,71,Pacific,2
11/24/2023,Le Moyne,71,Pacific,73,Pacific,-2
11/26/2023,Mississippi Valley St.,65,Pacific,68,Pacific,-3
11/29/2023,Cal St. Northridge,80,Pacific,69,Pacific,11
12/16/2023,UC Davis,82,Pacific,61,Pacific,21
12/18/2023,Cal St.Stanislaus,46,Pacific,68,Pacific,-22
12/30/2023,California Maritime,66,Pacific,80,Pacific,-14
11/06/2023,John Jay,57,Penn,102,Penn,-45
11/08/2023,Bucknell,61,Penn,80,Penn,-19
11/13/2023,Villanova,72,Penn,76,Penn,-4
11/24/2023,Lafayette,72,Penn,74,Penn,-2
11/25/2023,Belmont,84,Penn,79,Penn,5
11/26/2023,Monmouth,61,Penn,76,Penn,-15
12/02/2023,La Salle,93,Penn,92,Penn,1
12/06/2023,FDU Florham,57,Penn,111,Penn,-54
12/09/2023,Kentucky,81,Penn,66,Penn,15
12/11/2023,Howard,68,Penn,78,Penn,-10
11/06/2023,Delaware St.,45,Penn St.,79,Penn St.,-34
11/10/2023,Lehigh,65,Penn St.,74,Penn St.,-9
11/14/2023,Saint Francis,53,Penn St.,83,Penn St.,-30
11/17/2023,Morehead St.,51,Penn St.,74,Penn St.,-23
12/02/2023,Bucknell,76,Penn St.,67,Penn St.,9
12/09/2023,Ohio St.,80,Penn St.,83,Penn St.,-3
12/16/2023,Georgia Tech,82,Penn St.,81,Penn St.,1
12/21/2023,Le Moyne,55,Penn St.,72,Penn St.,-17
12/29/2023,Rider,63,Penn St.,90,Penn St.,-27
11/06/2023,Concordia CA,64,Pepperdine,76,Pepperdine,-12
11/12/2023,Lafayette,53,Pepperdine,76,Pepperdine,-23
11/13/2023,LIU,53,Pepperdine,88,Pepperdine,-35
11/17/2023,UNLV,82,Pepperdine,68,Pepperdine,14
11/22/2023,Indiana St.,90,Pepperdine,82,Pepperdine,8
11/28/2023,Idaho St.,62,Pepperdine,77,Pepperdine,-15
12/06/2023,Cal St. Fullerton,60,Pepperdine,55,Pepperdine,5
12/09/2023,UC San Diego,62,Pepperdine,68,Pepperdine,-6
12/21/2023,William & Mary,59,Pepperdine,71,Pepperdine,-12
12/29/2023,Westcliff,47,Pepperdine,83,Pepperdine,-36
11/06/2023,North Carolina A&T,52,Pittsburgh,100,Pittsburgh,-48
11/10/2023,Binghamton,60,Pittsburgh,89,Pittsburgh,-29
11/13/2023,Florida Gulf Coast,74,Pittsburgh,86,Pittsburgh,-12
11/17/2023,Jacksonville,56,Pittsburgh,107,Pittsburgh,-51
11/22/2023,Florida,86,Pittsburgh,71,Pittsburgh,15
11/24/2023,Oregon St.,51,Pittsburgh,76,Pittsburgh,-25
11/28/2023,Missouri,71,Pittsburgh,64,Pittsburgh,7
12/03/2023,Clemson,79,Pittsburgh,70,Pittsburgh,9
12/09/2023,Canisius,71,Pittsburgh,82,Pittsburgh,-11
12/16/2023,South Carolina St.,50,Pittsburgh,86,Pittsburgh,-36
12/20/2023,Purdue Fort Wayne,48,Pittsburgh,62,Pittsburgh,-14
11/06/2023,Long Beach St.,73,Portland,78,Portland,-5
11/08/2023,Lewis & Clark,72,Portland,89,Portland,-17
11/12/2023,UC Riverside,65,Portland,76,Portland,-11
11/15/2023,Tennessee St.,75,Portland,65,Portland,10
11/25/2023,Willamette,84,Portland,107,Portland,-23
12/01/2023,Wyoming,70,Portland,81,Portland,-11
12/03/2023,Air Force,80,Portland,58,Portland,22
12/22/2023,Massachusetts,100,Portland,78,Portland,22
12/24/2023,Temple,55,Portland,54,Portland,1
11/12/2023,Linfield,53,Portland St.,70,Portland St.,-17
11/19/2023,St. Thomas,76,Portland St.,70,Portland St.,6
11/28/2023,Portland,74,Portland St.,75,Portland St.,-1
12/06/2023,Lewis & Clark,60,Portland St.,104,Portland St.,-44
12/09/2023,George Fox,77,Portland St.,83,Portland St.,-6
11/06/2023,Kansas Christian,66,Prairie View A&M,89,Prairie View A&M,-23
12/18/2023,North American,61,Prairie View A&M,92,Prairie View A&M,-31
11/09/2023,Columbia International,58,Presbyterian,100,Presbyterian,-42
11/13/2023,The Citadel,64,Presbyterian,71,Presbyterian,-7
11/18/2023,Northwestern St.,75,Presbyterian,78,Presbyterian,-3
11/22/2023,Tennessee Tech,79,Presbyterian,75,Presbyterian,4
12/06/2023,Florida A&M,65,Presbyterian,60,Presbyterian,5
12/13/2023,Mid Atlantic Christian,51,Presbyterian,118,Presbyterian,-67
12/16/2023,Kennesaw St.,94,Presbyterian,84,Presbyterian,10
12/30/2023,Johnson & Wales NC,67,Presbyterian,91,Presbyterian,-24
11/25/2023,Northeastern,66,Princeton,80,Princeton,-14
12/02/2023,Furman,69,Princeton,70,Princeton,-1
12/05/2023,Drexel,70,Princeton,81,Princeton,-11
12/13/2023,Bryn Athyn,40,Princeton,92,Princeton,-52
12/22/2023,Delaware Valley,53,Princeton,84,Princeton,-31
11/06/2023,Columbia,59,Providence,78,Providence,-19
11/11/2023,Milwaukee,69,Providence,79,Providence,-10
11/14/2023,Wisconsin,59,Providence,72,Providence,-13
11/17/2023,Kansas St.,73,Providence,70,Providence,3
11/19/2023,Georgia,64,Providence,71,Providence,-7
11/24/2023,Lehigh,64,Providence,78,Providence,-14
11/28/2023,Wagner,52,Providence,86,Providence,-34
12/02/2023,Rhode Island,69,Providence,84,Providence,-15
12/10/2023,Brown,54,Providence,74,Providence,-20
12/16/2023,Sacred Heart,64,Providence,78,Providence,-14
12/19/2023,Marquette,57,Providence,72,Providence,-15
12/23/2023,Butler,75,Providence,85,Providence,-10
11/06/2023,Samford,45,Purdue,98,Purdue,-53
11/10/2023,Morehead St.,57,Purdue,87,Purdue,-30
11/13/2023,Xavier,71,Purdue,83,Purdue,-12
11/21/2023,Tennessee,67,Purdue,71,Purdue,-4
11/28/2023,Texas Southern,67,Purdue,99,Purdue,-32
12/04/2023,Iowa,68,Purdue,87,Purdue,-19
12/16/2023,Arizona,84,Purdue,92,Purdue,-8
12/21/2023,Jacksonville,57,Purdue,100,Purdue,-43
12/29/2023,Eastern Kentucky,53,Purdue,80,Purdue,-27
11/09/2023,Andrews,34,Purdue Fort Wayne,130,Purdue Fort Wayne,-96
11/12/2023,Texas A&M Commerce,64,Purdue Fort Wayne,86,Purdue Fort Wayne,-22
11/17/2023,Northern Arizona,67,Purdue Fort Wayne,77,Purdue Fort Wayne,-10
11/18/2023,South Dakota,81,Purdue Fort Wayne,93,Purdue Fort Wayne,-12
11/25/2023,Wittenberg,64,Purdue Fort Wayne,95,Purdue Fort Wayne,-31
11/29/2023,Green Bay,71,Purdue Fort Wayne,75,Purdue Fort Wayne,-4
12/09/2023,Southeast Missouri St.,80,Purdue Fort Wayne,89,Purdue Fort Wayne,-9
12/16/2023,Bethune Cookman,63,Purdue Fort Wayne,86,Purdue Fort Wayne,-23
12/29/2023,Northern Kentucky,60,Purdue Fort Wayne,73,Purdue Fort Wayne,-13
12/31/2023,Detroit Mercy,56,Purdue Fort Wayne,91,Purdue Fort Wayne,-35
11/14/2023,High Point,72,Queens,74,Queens,-2
11/22/2023,Fairleigh Dickinson,84,Queens,97,Queens,-13
11/29/2023,Gardner Webb,80,Queens,83,Queens,-3
12/01/2023,Carolina Christian,69,Queens,134,Queens,-65
12/09/2023,Carolina,64,Queens,112,Queens,-48
12/13/2023,Appalachian St.,93,Queens,81,Queens,12
11/06/2023,Coast Guard,48,Quinnipiac,116,Quinnipiac,-68
11/10/2023,Central Connecticut,70,Quinnipiac,74,Quinnipiac,-4
11/19/2023,Albany,82,Quinnipiac,85,Quinnipiac,-3
11/26/2023,Stonehill,69,Quinnipiac,80,Quinnipiac,-11
12/08/2023,Navy,68,Quinnipiac,71,Quinnipiac,-3
12/11/2023,Yale,73,Quinnipiac,66,Quinnipiac,7
11/12/2023,Eastern Mennonite,47,Radford,84,Radford,-37
11/21/2023,Morgan St.,72,Radford,82,Radford,-10
11/26/2023,Notre Dame MD,53,Radford,100,Radford,-47
12/03/2023,Elon,72,Radford,82,Radford,-10
12/09/2023,North Carolina Central,74,Radford,82,Radford,-8
12/12/2023,VMI,56,Radford,73,Radford,-17
11/06/2023,Central Connecticut,70,Rhode Island,81,Rhode Island,-11
11/09/2023,Fairfield,80,Rhode Island,93,Rhode Island,-13
11/14/2023,Wagner,53,Rhode Island,69,Rhode Island,-16
11/19/2023,Washington St.,78,Rhode Island,57,Rhode Island,21
11/22/2023,Johnson & Wales RI,59,Rhode Island,97,Rhode Island,-38
11/26/2023,Yale,72,Rhode Island,76,Rhode Island,-4
12/06/2023,Brown,67,Rhode Island,64,Rhode Island,3
12/16/2023,Delaware,67,Rhode Island,56,Rhode Island,11
12/21/2023,New Hampshire,81,Rhode Island,71,Rhode Island,10
12/30/2023,Northeastern,71,Rhode Island,82,Rhode Island,-11
11/07/2023,St. Thomas TX,57,Rice,101,Rice,-44
11/10/2023,Harvard,89,Rice,76,Rice,13
11/22/2023,New Mexico,90,Rice,56,Rice,34
11/30/2023,Tennessee Martin,78,Rice,98,Rice,-20
12/02/2023,Houston Christian,56,Rice,65,Rice,-9
12/13/2023,Incarnate Word,57,Rice,80,Rice,-23
12/20/2023,Prairie View A&M,56,Rice,82,Rice,-26
12/22/2023,Louisiana,84,Rice,67,Rice,17
11/06/2023,VMI,75,Richmond,93,Richmond,-18
11/11/2023,Siena,48,Richmond,90,Richmond,-42
11/20/2023,Colorado,64,Richmond,59,Richmond,5
11/21/2023,UNLV,65,Richmond,82,Richmond,-17
11/25/2023,Queens,61,Richmond,90,Richmond,-29
12/02/2023,William & Mary,69,Richmond,88,Richmond,-19
12/16/2023,Charlotte,56,Richmond,64,Richmond,-8
12/21/2023,Buffalo,66,Richmond,72,Richmond,-6
12/30/2023,Lafayette,38,Richmond,59,Richmond,-21
11/06/2023,Immaculata,67,Rider,113,Rider,-46
12/03/2023,Fairfield,88,Rider,81,Rider,7
12/08/2023,Stonehill,56,Rider,73,Rider,-17
12/23/2023,Penn,77,Rider,73,Rider,4
11/09/2023,Point Park,56,Robert Morris,66,Robert Morris,-10
11/24/2023,Jacksonville,74,Robert Morris,65,Robert Morris,9
11/26/2023,Fairleigh Dickinson,86,Robert Morris,97,Robert Morris,-11
12/02/2023,Youngstown St.,71,Robert Morris,57,Robert Morris,14
12/11/2023,Delaware,73,Robert Morris,69,Robert Morris,4
12/17/2023,St. Vincent,46,Robert Morris,95,Robert Morris,-49
12/22/2023,Cornell,90,Robert Morris,85,Robert Morris,5
11/06/2023,Princeton,68,Rutgers,61,Rutgers,7
11/10/2023,Boston University,45,Rutgers,69,Rutgers,-24
11/12/2023,Bryant,57,Rutgers,66,Rutgers,-9
11/15/2023,Georgetown,60,Rutgers,71,Rutgers,-11
11/18/2023,Howard,63,Rutgers,85,Rutgers,-22
11/27/2023,Saint Peter's,40,Rutgers,71,Rutgers,-31
12/02/2023,Illinois,76,Rutgers,58,Rutgers,18
12/16/2023,LIU,61,Rutgers,83,Rutgers,-22
12/23/2023,Mississippi St.,70,Rutgers,60,Rutgers,10
12/30/2023,Stonehill,58,Rutgers,59,Rutgers,-1
11/09/2023,North Park,67,SIU Edwardsville,92,SIU Edwardsville,-25
11/16/2023,Denver,74,SIU Edwardsville,77,SIU Edwardsville,-3
11/25/2023,Detroit Mercy,67,SIU Edwardsville,81,SIU Edwardsville,-14
11/28/2023,Missouri Baptist,62,SIU Edwardsville,86,SIU Edwardsville,-24
12/06/2023,Green Bay,69,SIU Edwardsville,78,SIU Edwardsville,-9
12/18/2023,Central Christian MO,56,SIU Edwardsville,99,SIU Edwardsville,-43
12/29/2023,Eastern Illinois,58,SIU Edwardsville,67,SIU Edwardsville,-9
12/31/2023,Western Illinois,78,SIU Edwardsville,70,SIU Edwardsville,8
11/06/2023,SW Assemblies of God,63,SMU,82,SMU,-19
11/08/2023,Western Illinois,53,SMU,90,SMU,-37
11/09/2023,Lamar,67,SMU,78,SMU,-11
11/14/2023,Texas A&M,79,SMU,66,SMU,13
11/20/2023,West Virginia,58,SMU,70,SMU,-12
11/22/2023,Wisconsin,69,SMU,61,SMU,8
11/26/2023,Louisiana Monroe,57,SMU,70,SMU,-13
11/29/2023,Dayton,65,SMU,63,SMU,2
12/03/2023,Texas A&M Commerce,47,SMU,90,SMU,-43
12/19/2023,Houston Christian,53,SMU,89,SMU,-36
11/14/2023,Pacific Union,66,Sacramento St.,128,Sacramento St.,-62
11/20/2023,Cal St. Bakersfield,75,Sacramento St.,71,Sacramento St.,4
12/09/2023,Cal St. Fullerton,62,Sacramento St.,60,Sacramento St.,2
12/18/2023,UC San Diego,83,Sacramento St.,52,Sacramento St.,31
12/21/2023,Bethesda,45,Sacramento St.,100,Sacramento St.,-55
11/06/2023,Sarah Lawrence,51,Sacred Heart,95,Sacred Heart,-44
11/21/2023,Binghamton,75,Sacred Heart,89,Sacred Heart,-14
11/30/2023,New Hampshire,90,Sacred Heart,84,Sacred Heart,6
12/02/2023,Boston University,70,Sacred Heart,49,Sacred Heart,21
12/09/2023,Fairfield,67,Sacred Heart,57,Sacred Heart,10
12/21/2023,Dartmouth,57,Sacred Heart,67,Sacred Heart,-10
12/30/2023,Mercy,63,Sacred Heart,92,Sacred Heart,-29
11/20/2023,Pittsburgh Greensburg,63,Saint Francis,77,Saint Francis,-14
11/22/2023,Franciscan,54,Saint Francis,107,Saint Francis,-53
11/25/2023,Niagara,69,Saint Francis,61,Saint Francis,8
12/15/2023,Mount St. Mary's,72,Saint Francis,65,Saint Francis,7
12/20/2023,Robert Morris,75,Saint Francis,73,Saint Francis,2
12/30/2023,Campbell,76,Saint Francis,78,Saint Francis,-2
11/06/2023,Lafayette,60,Saint Joseph's,81,Saint Joseph's,-21
11/10/2023,Penn,61,Saint Joseph's,69,Saint Joseph's,-8
11/14/2023,Stonehill,56,Saint Joseph's,100,Saint Joseph's,-44
